original_text,encrypted_text
Bez práce nie sú koláče Život je krásny,Rup fhosu dyu in aebogu Uylej zu ahoido
Všetko najlepšie k narodeninám,Opxmdh gtcexipbx d gtkhwxgbgrf
V našej záhrade rastú krásne kvety Život je krásny Bez práce nie sú koláče,Y qdzhm cbkudgh udvwa nubvqh nyhwb Hlyrw mh nubvqb Ehc subfh qlh va nrobth
Život je krásny Slovensko je krásna krajina Dobrý deň prajem,Wangl bw cjqkfq Kdgnwfkcg bw cjqkfs cjsbafs Vgtjs vwp hjsbwe
Kde bolo tam bolo V našej záhrade rastú krásne kvety Dobrý deň prajem,Cvw tgdg lse tgdg N fsowb rqzjsvw jsklp cjqkfw cnwlq Vgtjs vwp hjsbwe
Láska hory prenáša Dobrý deň prajem Život je krásny,Ylfxn ubel ceraljn Qboen qrk cenwrz Rvibg wr xelfal
Ráno múdrejšie večera,Cjyz xiocpuhtp gpbpcl
Všetko najlepšie k narodeninám Ráno múdrejšie večera,Mnvkbf eracvgnzv b erifuvezepd Ipef douivanzv mvhvir
Príliš žlťučký kôň úpäl ďábelské ódy V našej záhrade rastú krásne kvety Kde bolo tam bolo,Qslmjx ambvrlb lsy yqcm tzcfmtlh rez W obxfk azisbef sbtuy lsztof lwfuz Lef cpmp ubn cpmp
Dobrý deň prajem Život je krásny Príliš žlťučký kôň úpäl ďábelské ódy,Greud gha sudmhp Hlyrw mh nubvqb Sunolz codxtnd nua aseo vbehovnj tgb
Kde bolo tam bolo,Zst qdad ipb qdad
Slovensko je krásna krajina Všetko najlepšie k narodeninám Ráno múdrejšie večera,Exahqzewa vq wdkezm wdmvuzm Hiqfwa zmvxqbiuq w zmdapqzuzky Dkza yjpdqviuq hqcqdm
Láska hory prenáša Bez práce nie sú koláče,Qdxpf mtwd uwjsdbf Gje uwdhj snj xc ptqdvj
Slovensko je krásna krajina Kde bolo tam bolo,Wpszirwos ni ovcwre ovenmre Ohi fsps xeq fsps
Dobrý deň prajem Bez práce nie sú koláče,Sdqgp stm egpytb Qto egnrt cxt hm zdanft
Ráno múdrejšie večera Príliš žlťučký kôň úpäl ďábelské ódy V našej záhrade rastú krásne kvety,Qxmn lwcqdivhd udpdqz Oqjkhv ykztpjz jqw woak rxadkrjf pcx U mzvdi yxgqzcd qzrsw jqxrmd judsx
Dobrý deň prajem,Sdqgp stm egpytb
Slovensko je krásna krajina V našej záhrade rastú krásne kvety,Dwzgpydvz up vcjdyl vclutyl G ylhpu kjsclop cldei vcjdyp vgpej
Všetko najlepšie k narodeninám Ráno múdrejšie večera Dobrý deň prajem,Fgoduy xktvozgso u xkbynoxsxiw Bixy whnbotgso foaobk Nylbk noh zbktow
Slovensko je krásna krajina,Ngjqzinfj ez fmtniv fmvediv
Príliš žlťučký kôň úpäl ďábelské ódy Všetko najlepšie k narodeninám,Ikdebp setnjdt dkq qiue lruxeldz jwr Opxmdh gtcexipbx d gtkhwxgbgrf
Slovensko je krásna krajina,Jcfmvejbf av bipjer birazer
Kde bolo tam bolo Dobrý deň prajem,Ibc zmjm ryk zmjm Bmzpy bcv npyhck
Kde bolo tam bolo,Rkl ivsv aht ivsv
Kde bolo tam bolo Život je krásny,Wpq naxa fmy naxa Quhaf vq wdkezk
Život je krásny V našej záhrade rastú krásne kvety Všetko najlepšie k narodeninám,Vzmfk av bipjep M ernva qpyiruv irjko bipjev bmvkp Mnvkbf eracvgnzv b erifuvezepd
Dobrý deň prajem,Whukt wxq iktcxf
Láska hory prenáša,Dqkcs zgjq hjwfqos
Kde bolo tam bolo Život je krásny,Xqr obyb gnz obyb Rvibg wr xelfal
Kde bolo tam bolo V našej záhrade rastú krásne kvety,Rkl ivsv aht ivsv C uhdlq gfoyhkl yhzae ryfzul rclaf
Bez práce nie sú koláče Láska hory prenáša,Ehc subfh qlh va nrobth Obvnd krub suhqbzd
V našej záhrade rastú krásne kvety,H zmiqv lktdmpq dmefj wdkezq whqfk
Bez práce nie sú koláče Ráno múdrejšie večera Všetko najlepšie k narodeninám,Ady oqxbd mhd rw jnkxpd Qxmn lwcqdivhd udpdqz Uvdsjn mzikdovhd j mzqncdmhmxl
Dobrý deň prajem,Juhxg jkd vxgpks
Kde bolo tam bolo Láska hory prenáša Život je krásny,Uno lyvy dkw lyvy Vicuk rybi zboxigk Osfyd to ubicxi
Príliš žlťučký kôň úpäl ďábelské ódy,Kmfgdr ugvplfv fms skwg ntwzgnfb lyt
Slovensko je krásna krajina Všetko najlepšie k narodeninám Dobrý deň prajem,Dwzgpydvz up vcjdyl vclutyl Ghpevz yluwpahtp v ylczopytyjx Ozmcl opi aclupx
Dobrý deň prajem,Terhq tun fhqzuc
Príliš žlťučký kôň úpäl ďábelské ódy Kde bolo tam bolo Ráno múdrejšie večera,Tvopma dpeyuoe ovb btfp wcfipwok uhc Ohi fsps xeq fsps Vcrs qbhvinami ziuive
Bez práce nie sú koláče Láska hory prenáša,Psn dfmqs bws gl yczmes Zmgyo vcfm dfsbmko
Ráno múdrejšie večera,Ahwx vgmansfrn enznaj
Príliš žlťučký kôň úpäl ďábelské ódy Láska hory prenáša Všetko najlepšie k narodeninám,Egzaxl oapjfzp zgm meqa hnqtahzv fsn Anhzp wdgn egtcnlp Kltizd cpyatelxt z cpgdstcxcnb
Všetko najlepšie k narodeninám V našej záhrade rastú krásne kvety Dobrý deň prajem,Fgoduy xktvozgso u xkbynoxsxiw F xkgot jirbkno bkcdh ubicxo ufodi Nylbk noh zbktow
Bez práce nie sú koláče,Rup fhosu dyu in aebogu
V našej záhrade rastú krásne kvety,T lyuch xwfpybc pyqrv ipwqlc itcrw
Všetko najlepšie k narodeninám Príliš žlťučký kôň úpäl ďábelské ódy,Rsapgk jwfhalsea g jwnkzajejui Lnghes vhwqmgw gnt tlxh ouxahogc mzu
Slovensko je krásna krajina Dobrý deň prajem Bez práce nie sú koláče,Fybirafxb wr xelfan xenwvan Qboen qrk cenwrz Orm celpr avr fk xbyldr
Bez práce nie sú koláče,Vyt jlswy hcy mr eifsky
Kde bolo tam bolo Ráno múdrejšie večera,Ibc zmjm ryk zmjm Pwlm kvbpchugc tcocpy
Všetko najlepšie k narodeninám Bez práce nie sú koláče Ráno múdrejšie večera,Jkshyc boxzsdkws y bofcrsbwbma Psn dfmqs bws gl yczmes Fmbc alrfsxkws jsesfo
V našej záhrade rastú krásne kvety Život je krásny,G ylhpu kjsclop cldei vcjdyp vgpej Ptgze up vcjdyj
Všetko najlepšie k narodeninám,Efnctx wjsunyfrn t wjaxmnwrwhv
V našej záhrade rastú krásne kvety Príliš žlťučký kôň úpäl ďábelské ódy Ráno múdrejšie večera,Z reain dclvehi vewxb ovcwri ozixc Tvopma dpeyuoe ovb btfp wcfipwok uhc Vcrs qbhvinami ziuive
Všetko najlepšie k narodeninám,Qrzofj ivegzkrdz f ivmjyzidith
Príliš žlťučký kôň úpäl ďábelské ódy,Mohift wixrnhx hou umyi pvybiphd nav
Slovensko je krásna krajina V našej záhrade rastú krásne kvety Život je krásny,Buxenwbtx sn tahbwj tajsrwj E wjfns ihqajmn ajbcg tahbwn tench Nrexc sn tahbwh
Kde bolo tam bolo,Zst qdad ipb qdad
Ráno múdrejšie večera Bez práce nie sú koláče Všetko najlepšie k narodeninám,Dkza yjpdqviuq hqcqdm Nql bdkoq zuq ej waxkcq Hiqfwa zmvxqbiuq w zmdapqzuzky
Život je krásny,Ycpin dy elsmhs
Kde bolo tam bolo,Uno lyvy dkw lyvy
